acid_flow,acetate_flow,water_flow,total_flow,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,water_fraction,buffer_flow_fraction,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,ph_equilibrium_affine
2.0,3.0,9.0,14.0,1.5,0.17609125905568124,0.6428571428571429,0.35714285714285715,0.014285714285714287,0.021428571428571432,0.03571428571428572,0.021428571428571432,4.93667750441349,4.5611974691555135
2.0,3.0,10.0,15.0,1.5,0.17609125905568124,0.6666666666666666,0.3333333333333333,0.013333333333333334,0.020000000000000004,0.03333333333333334,0.020000000000000004,4.936719324709414,4.561230545373545
2.0,4.0,1.0,7.0,2.0,0.3010299956639812,0.14285714285714285,0.8571428571428571,0.028571428571428574,0.05714285714285715,0.08571428571428572,0.05714285714285715,5.0612280076486895,4.659706088232921
2.0,4.0,2.0,8.0,2.0,0.3010299956639812,0.25,0.75,0.025,0.05,0.07500000000000001,0.05,5.0612562828343695,4.659728451446422
2.0,4.0,3.0,9.0,2.0,0.3010299956639812,0.3333333333333333,0.6666666666666666,0.022222222222222223,0.044444444444444446,0.06666666666666667,0.044444444444444446,5.061284554951725,4.659750812233145
2.0,4.0,4.0,10.0,2.0,0.3010299956639812,0.4,0.6,0.02,0.04,0.06,0.04,5.061312823999945,4.659773170592448
2.0,4.0,5.0,11.0,2.0,0.3010299956639812,0.45454545454545453,0.5454545454545454,0.018181818181818184,0.03636363636363637,0.05454545454545455,0.03636363636363637,5.061341089979004,4.659795526524313
2.0,4.0,6.0,12.0,2.0,0.3010299956639812,0.5,0.5,0.016666666666666666,0.03333333333333333,0.05,0.03333333333333333,5.061369352889352,4.6598178800290935
2.0,4.0,7.0,13.0,2.0,0.3010299956639812,0.5384615384615384,0.46153846153846156,0.015384615384615385,0.03076923076923077,0.046153846153846156,0.03076923076923077,5.061397612731713,4.659840231107363
2.0,4.0,8.0,14.0,2.0,0.3010299956639812,0.5714285714285714,0.42857142857142855,0.014285714285714287,0.028571428571428574,0.04285714285714286,0.028571428571428574,5.061425869506961,4.659862579759813
2.0,4.0,9.0,15.0,2.0,0.3010299956639812,0.6,0.4,0.013333333333333334,0.02666666666666667,0.04,0.02666666666666667,5.061454123216056,4.659884925987202
2.0,4.0,10.0,16.0,2.0,0.3010299956639812,0.625,0.375,0.0125,0.025,0.037500000000000006,0.025,5.061482373859997,4.659907269790321
2.0,5.0,1.0,8.0,2.5,0.3979400086720376,0.125,0.875,0.025,0.0625,0.0875,0.0625,5.158108978610221,4.736330512995597
